曽鯉坪球,曽鯉誤,劾促,鯵昔,須厩昔,奄淫域,榎清燈切,左蝿,燈重,精楳,奄展榎清,尻奄榎,奄展狛昔,奄展須昔,紫乞呑球
A035720,朝朝神,20220726,-20672,21265,7512,46883,-9172,-2981,0,213,26653,-7243,-862,-54084
A035720,朝朝神,20220725,-185342,140850,48319,56977,-1835,782,0,169,19754,-2983,-844,-27528
A035720,朝朝神,20220728,83359,-196321,85182,65286,-16721,-7751,-260,1395,1195,28321,-541,42038
A035720,朝朝神,20220727,192693,-300604,110996,66944,-1540,-9918,-260,110,21664,-3281,196,33996
A035720,朝朝神,20220729,-547378,221117,330513,201232,12300,-4759,-3333,-2141,84691,-3749,-503,42523
A035720,朝朝神,20220801,212859,-136330,-66141,-13233,15896,303,-3355,259,-37199,-6352,-4036,-28812
A035720,朝朝神,20220803,-358281,87901,283296,-68918,12702,70309,-2685,1080,183670,-10880,-2036,87138
A035720,朝朝神,20220802,808310,-642409,-169920,-132722,-6699,-28114,-2899,56,-4926,2602,1417,5384
A035720,朝朝神,20220805,-1601528,822371,841412,-177307,77689,250923,2469,1629,213144,-51491,-10764,472865
A035720,朝朝神,20220804,-1426231,897014,578640,-184489,67288,202053,2390,1282,159525,-41056,-8367,330591
A035720,朝朝神,20220809,-440225,73404,371636,-55837,-1470,101058,772,56,104844,-1455,-3360,222213
A035720,朝朝神,20220808,-218733,224596,-2546,-106898,-11485,33578,430,56,9500,-1932,-1385,72273
A035720,朝朝神,20220811,-387054,98934,286852,177924,23535,26482,1896,4036,121234,8132,-6864,-68255
A035720,朝朝神,20220810,253697,-152381,-112238,40994,-5322,-44236,199,-964,11576,9348,1574,-114485
A035720,朝朝神,20220812,187557,-124119,-63241,-9741,16521,2580,0,1274,17552,-1268,1071,-91427
A035720,朝朝神,20220817,766965,-566438,-139392,30521,-21112,-60955,2031,-2045,23126,-70320,9185,-110958
A035720,朝朝神,20220816,581018,-471544,-110281,-17925,-13512,-27711,1186,-102,77,-1704,2511,-52294
A035720,朝朝神,20220819,944621,-399493,-569418,-103378,-43530,-103933,174,1518,-189829,15672,8618,-130440
A035720,朝朝神,20220818,440005,-83649,-364921,-142614,-16539,-68559,174,1510,-59646,5937,2628,-79247
A035720,朝朝神,20220823,117475,99826,-217466,-192507,-20002,17727,-2418,-133,383,528,-363,-20516
A035720,朝朝神,20220822,13089,34303,-50117,-16100,-12785,-8488,-2464,-80,9535,2918,-193,-19735
A035720,朝朝神,20220825,9876,-232352,229206,20657,4200,-5001,-455,-173,79527,-6669,-61,130451
A035720,朝朝神,20220824,44727,-80636,43041,-29453,-4687,-2754,-455,43,21357,-7222,90,58990
A035720,朝朝神,20220826,-39368,-54306,92458,38124,20709,25208,0,-2968,75799,615,601,-64414
A035720,朝朝神,20220829,537639,-268239,-284710,-214071,-33693,-51542,0,181,-2623,11886,3424,17038
A035720,朝朝神,20220831,122284,-24247,-93527,-46043,-12609,-50326,0,1254,15888,-5679,1169,-1691
A035720,朝朝神,20220830,21958,-31471,8482,10221,-14763,-20506,0,1092,32377,-253,1284,61
A035720,朝朝神,20220902,733524,-284089,-464229,-257727,-10570,-44510,396,-7469,-75567,12268,2526,-68782
A035720,朝朝神,20220901,414529,-142165,-283810,-185531,-2240,-29629,396,-7389,-13739,9585,1861,-45678
A035720,朝朝神,20220906,210417,-168081,-42732,37738,-19512,-19074,4053,1363,-48236,-987,1383,936
A035720,朝朝神,20220905,12359,-21232,7975,55060,-9872,-9334,-38,0,-31155,312,586,3314
A035720,朝朝神,20220908,668005,-638306,-41934,158174,-42751,-3967,-2706,-5756,-128622,8760,3475,-16306
A035720,朝朝神,20220907,732400,-529343,-218459,-27575,-36401,-26149,-1391,-6560,-72768,12033,3369,-47615
A035720,朝朝神,20220914,479715,-847353,362478,138605,16361,14099,1630,544,113344,3110,2050,77895
A035720,朝朝神,20220913,54916,-669391,614216,245416,24421,59605,742,485,75715,475,-216,207832
