¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A239340,¡‹¿Œ≈Õ≥›,20230522,3305,-3468,0,0,0,0,0,0,0,133,30,0
A239340,¡‹¿Œ≈Õ≥›,20230524,281187,-282743,6647,-350,0,6997,0,0,0,-12098,7007,0
A239340,¡‹¿Œ≈Õ≥›,20230523,413937,-427692,6997,0,0,6997,0,0,0,-4182,10940,0
A239340,¡‹¿Œ≈Õ≥›,20230526,41289,-34000,-125,-125,0,0,0,0,0,-698,-6466,0
A239340,¡‹¿Œ≈Õ≥›,20230525,-7510,7820,-40,-40,0,0,0,0,0,-698,428,0
A239340,¡‹¿Œ≈Õ≥›,20230530,-25580,25581,-8,-8,0,0,0,0,0,0,7,0
A239340,¡‹¿Œ≈Õ≥›,20230601,-35052,35170,-17,-17,0,0,0,0,0,0,-101,0
A239340,¡‹¿Œ≈Õ≥›,20230531,-11235,11353,-17,-17,0,0,0,0,0,0,-101,0
A239340,¡‹¿Œ≈Õ≥›,20230602,12858,-12877,0,0,0,0,0,0,0,0,19,0
A239340,¡‹¿Œ≈Õ≥›,20230605,-13209,13509,0,0,0,0,0,0,0,0,-300,0
